variable,bin,points
NAME_CONTRACT_TYPE,<1.0,36.0
NAME_CONTRACT_TYPE,>1.0,50.0
AMT_CREDIT,<91000.0,51.0
AMT_CREDIT,"91000.0,150000.0",46.0
AMT_CREDIT,"150000.0,200000.0",41.0
AMT_CREDIT,"200000.0,300000.0",38.0
AMT_CREDIT,>300000.0,35.0
FLAG_OWN_CAR,<1.0,34.0
FLAG_OWN_CAR,>1.0,41.0
AMT_ANNUITY,<4000.0,44.0
AMT_ANNUITY,"4000.0,7000.0",42.0
AMT_ANNUITY,"7000.0,16000.0",39.0
AMT_ANNUITY,>16000.0,36.0
CNT_FAM_MEMBERS,<2.0,34.0
CNT_FAM_MEMBERS,"2.0,3.0",36.0
CNT_FAM_MEMBERS,>3.0,38.0
AMT_INCOME_TOTAL,<200000.0,36.0
AMT_INCOME_TOTAL,"200000.0,250000.0",37.0
AMT_INCOME_TOTAL,"250000.0,300000.0",37.0
AMT_INCOME_TOTAL,"300000.0,400000.0",38.0
AMT_INCOME_TOTAL,>400000.0,38.0
DEF_60_CNT_SOCIAL_CIRCLE,<1.0,38.0
DEF_60_CNT_SOCIAL_CIRCLE,"1.0,2.0",29.0
DEF_60_CNT_SOCIAL_CIRCLE,>2.0,24.0
DAYS_EMPLOYED,<-5000.0,51.0
DAYS_EMPLOYED,"-5000.0,-3500.0",46.0
DAYS_EMPLOYED,"-3500.0,-2200.0",43.0
DAYS_EMPLOYED,"-2200.0,-1700.0",38.0
DAYS_EMPLOYED,"-1700.0,-1000.0",34.0
DAYS_EMPLOYED,>-1000.0,31.0
NAME_INCOME_TYPE,<1.0,-2.0
NAME_INCOME_TYPE,"1.0,5.0",41.0
NAME_INCOME_TYPE,>5.0,35.0
NAME_EDUCATION_TYPE,<2.0,47.0
NAME_EDUCATION_TYPE,"2.0,3.0",38.0
NAME_EDUCATION_TYPE,>3.0,33.0
NAME_FAMILY_STATUS,<3.0,37.0
NAME_FAMILY_STATUS,>3.0,36.0
EXT_SOURCE_2,<0.1,5.0
EXT_SOURCE_2,"0.1,0.15",11.0
EXT_SOURCE_2,"0.15,0.2",19.0
EXT_SOURCE_2,"0.2,0.44",27.0
EXT_SOURCE_2,"0.44,0.6",40.0
EXT_SOURCE_2,"0.6,0.8",52.0
EXT_SOURCE_2,>0.8,67.0
age,<30.0,33.0
age,"30.0,35.0",36.0
age,"35.0,40.0",38.0
age,>40.0,40.0
OCCUPATION_TYPE,<1.0,46.0
OCCUPATION_TYPE,"1.0,4.0",40.0
OCCUPATION_TYPE,"4.0,15.0",36.0
OCCUPATION_TYPE,>15.0,34.0
